Time,BM7,BM8,BM9,BM10
2.3389,3,7,1,5
2.3637,2,1,3,3
2.3922,9,2,3,2
2.4209,4,8,2,3
2.4502,5,3,2,9
2.4783,5,5,0,3
2.5031,2,3,1,2
2.5315,2,5,2,5
2.5602,5,3,3,5
2.5888,6,6,1,3
2.6174,7,3,2,3
2.6464,6,0,3,3
2.6716,3,2,4,3
2.6998,2,5,3,2
2.7281,2,5,4,4
2.7569,5,4,7,0
2.7853,5,3,4,2
2.8101,5,5,4,6
2.8387,5,1,3,4
2.8682,8,4,1,4
2.896,7,6,5,4
2.9248,2,5,3,5
2.9495,4,6,4,0
2.9819,5,3,8,56
3.0069,6,6,2,57
3.0359,3,4,2,59
3.0639,3,4,8,57
3.0926,7,4,5,60
3.1213,5,1,8,56
3.1462,2,1,4,55
3.1746,4,4,5,57
3.2033,5,6,0,53
3.2323,5,4,5,59
3.2607,4,2,1,55
3.2892,5,3,4,57
3.3138,3,2,3,56
3.3426,3,4,2,55
3.3712,3,4,1,57
3.4006,7,4,0,56
3.4284,5,4,6,56
3.4571,3,1,6,57
3.4821,5,3,7,51
3.5104,5,9,4,54
3.5392,4,3,7,61
3.5677,4,3,5,55
3.5963,9,3,3,57
3.6256,4,3,8,51
3.6497,3,1,6,55
3.6791,7,5,4,52
3.7071,4,4,6,57
3.7359,5,2,1,64
3.7642,4,4,6,58
3.789,8,4,3,59
3.8216,4,6,12,58
3.8463,2,3,6,57
3.8752,4,1,6,56
3.9037,5,5,6,58
3.9323,2,6,3,58
3.9573,3,3,7,53
3.9855,4,0,3,55
4.0142,0,2,4,58
4.0428,3,4,7,56
4.0714,5,2,5,56
4.1005,7,3,7,56
4.1252,3,5,4,59
4.1535,4,5,5,56
4.1822,9,2,6,57
4.211,4,0,9,54
4.2394,2,2,5,55
4.2641,5,4,4,59
4.2929,8,1,3,58
4.3214,3,3,8,56
4.35,6,2,4,59
4.3787,6,5,6,54
4.4075,4,7,5,59
4.4322,4,3,6,55
4.4607,4,3,4,54
4.4893,4,2,3,60
4.5179,6,4,6,55
4.5465,4,3,7,58
4.5752,4,4,6,54
4.6,5,6,3,54
4.6286,5,5,7,61
4.6575,6,3,7,57
4.6862,11,2,10,57
4.7145,5,5,3,57
4.7433,6,2,4,58
4.7688,6,3,5,57
4.7972,7,3,7,58
4.8258,3,3,4,53
4.8545,6,1,6,54
4.8828,7,2,7,55
4.9111,5,3,5,61
4.9362,6,3,5,58
4.9644,7,0,7,56
4.9931,5,6,7,53
5.0217,3,4,7,61
5.0503,3,6,5,52
5.075,6,3,1,49
5.1037,6,3,7,57
5.1324,2,3,4,57
5.1616,7,5,5,57
5.1897,3,9,7,53
5.2183,7,6,5,60
5.243,6,3,7,55
5.2717,8,7,5,59
5.3003,5,2,7,57
5.3289,4,2,6,62
5.3575,7,2,5,56
5.3862,0,7,8,59
5.4109,4,8,9,61
5.4396,6,5,5,58
5.4689,9,3,3,59
5.4969,4,2,8,58
5.5254,3,2,7,56
5.5545,5,3,5,54
5.5791,5,7,5,57
5.6083,6,4,2,61
5.6365,4,7,7,55
5.6652,9,3,7,58
5.6935,6,2,6,53
5.7183,5,5,5,53
5.7469,5,5,5,54
5.7756,3,7,5,55
5.8041,7,1,2,58
5.8327,3,1,6,58
5.8613,9,2,6,56
5.8862,5,3,7,58
5.9148,4,1,5,59
5.9441,4,6,5,53
5.972,10,4,6,55
6.0008,4,5,7,58
6.0292,7,4,2,55
6.0579,10,3,4,57
6.0825,6,4,6,53
6.1112,5,5,6,52
6.1398,5,8,6,58
6.1693,2,7,3,55
6.1973,5,6,2,58
6.2219,5,5,4,58
6.2508,9,0,4,55
6.2793,5,2,6,57
6.3079,7,5,3,61
6.3364,6,4,6,56
6.3612,6,3,8,58
6.3898,6,4,6,62
6.4185,8,2,7,59
6.447,6,1,6,54
6.4761,4,0,6,55
6.505,4,0,5,59
6.5297,8,1,5,53
6.5577,6,0,7,56
6.5864,5,3,8,53
6.615,7,0,2,55
6.6439,6,4,6,56
6.6725,8,3,11,56
6.6973,3,3,4,60
6.7262,6,0,2,56
6.7544,3,0,8,60
6.7831,4,7,5,52
6.8117,4,3,5,56
6.8407,5,6,11,55
6.865,9,3,3,57
6.8938,6,5,6,55
6.9222,5,5,4,54
6.9515,6,6,6,57
6.9795,8,9,7,54
7.0042,5,6,4,60
7.0329,6,6,6,56
7.0615,9,2,1,59
7.0902,10,9,4,57
7.1187,1,5,3,58
7.1474,6,7,3,55
7.1723,8,7,1,58
7.2007,4,4,4,59
7.2296,6,3,4,57
7.2581,6,3,6,51
7.2866,9,2,5,54
7.3115,6,4,9,62
7.34,8,4,6,54
7.3687,5,5,7,53
7.3973,5,7,4,59
7.4262,7,4,5,59
